Title,Artist,Lyrics
World Tour (비행),Lee Hi (이하이),"   비행     tablo i'm on a world tour i'm on a world tour with my mic in my hand i'm on a world tour i'm on a world tour 정상을 향한 비행   ,  당분간만 음소거를 누르고 파 이렇다저렇다 뭐 어쩌라는 건데 eh 더는 묻지 마 nope 이미 폰은 뒤집어놨어 ahah 아쉽지만 모두 다음에 봐   ,  밤이 낮이 uh 될 때까지 yeaheh 리듬 속에 내 몸을 숨기고 uhhuh, uhhuh, uhhuh new york, paris yeaheh 지구 몇 바퀴를 돌고서 ahah 새로운 사랑에 빠질지도 oh   ,  긴가민가 고민하지 마 긴 자로 잰다고 답이 나오나 uhhuh, uhhuh, uhhuh 한밤의 꿈처럼 깨버린대도 goodnight, goodnight i'm havin' a good time right? i'm gone i'm gone   눈에 익은 사람들과 환경 yeah 다시 마주치기 싫은 악연 yeah 지겨워질 때쯤 비행기를 타고 uhhuh 이 땅과 제일 먼 곳으로 i'll go 나를 찾지 마 ey 핸드폰은 안 터지니까 what? 누구보다 높이 오르고 싶다 라는 말이 이건 아니었지만, i'm gone   , , both 매뉴얼이 있다면 지금보단 괜찮을까 그깟 사랑도, 사람도 답은 아닌 것 같은데 그간 번 돈 몽땅 쓰고 woowoo 다시 일의 노예가 될지도 ha 모르지만 그냥 내버려 둬   , , both 밤이 낮이 uh 될 때까지 yeaheh 뭐가 그리 크게 변한다고 uhhuh, uhhuh, uhhuh 하나같이 yeaheh 팔짱 단단히 낀 채로 심각하게 굳어있는지 oh    uh, yeah 하늘로 올라가니 빨간 십자가들마저 eh 경쟁하는 듯해 모순된 믿음의 향연 so what? 물론 나의 믿음은 거짓이 아닌데 익숙함이 무서워 uh 떠나고 싶네 어렸을 때 슈퍼맨처럼 난 망토를 매고 2층에서 뛰었네 동심이 죽기 전에 eh, eh, eh, eh 그때의 나를 찾으러 여권을 들이미네 나잇값을 계산하긴 아직 잔돈이기에  ,  긴가민가 ey 고민하지 마 don't think about it too much 긴 자로 잰다고 답이 나오나 uhhuh, uhhuh, uhhuh 한밤의 꿈처럼 깨버린대도 goodnight, goodnight i'm havin' a good time i'm gone, gone i'm gone, gone    언제까질진 몰라도 불시착일지 몰라도 이 비행을 멈출 순 없어   ,  긴가민가 고민하지 마 don't think about it too much 긴 자로 잰다고 답이 나오나 한밤의 꿈처럼 깨버린대도 oh, yeah goodnight goodnight, goodnight goodnight i'm havin' a good time good time, right?   ,  don't think about it hey don't think about it don't think about it don't think about it, don't think about it don't think about it don't think about it don't think about it uhuh don't think about it don't think about it don't think about it, don't think about it don't think about it too much don't think about it too much too much don't think about it too much too much don't think about it too much don't think about it too much don't think about it too much don't think about it too much don't think about it too much don't think about it too much "
Dream,Lee Hi (이하이)," dream    거짓말처럼 달콤하게만 나 꿈결 속으로 너와 거닐던   혼자 남은 걸음은 다시 길을 잃고 헤매도 i want you   이 느린 마음에 초라하게만 나 남겨진 약속 버리지 못해   혼자 남은 걸음은 또 길을 잃고 헤매도   i just wait for you, just back to 내게 다시 거짓말 같은 시간 속에 나 물들 수 있게 i just pray for you, just turn me on 오 다시 없을 것 같은 너의 품에 나 잠들 수 있게 dream  거친 바람도 찬 바다에도 영원할 거라고 믿었던 기억   흐려져만 가는 너 목소릴 잃은 추억들   i just wait for you, just back to 내게 다시 거짓말 같은 시간 속에 나 물들 수 있게 i just pray for you, just turn me on 오 다시 없을 것 같은 너의 품에 나 잠들 수 있게   oh, 밝아오는 빛을 멈춰준다면 m 너 나의 곁에 머물 수 있게 무너진 나를 달래러 매일 밤 찾아온다면 “그래 내일 봐” 라고 웃으면서 기꺼이 하루를 견딜텐데  i know this is just a dream 내게 다시 돌아온다던 말은 멀리도 가버렸는데 but i just pray for you, just turn me on 남아있는 나의 날들은 너를 지워내지 못하는걸 dream "
짝사랑 (One-sided love),Lee Hi (이하이), 짝사랑    나 널 좋아해 꽤 오래됐어 하루종일 니 생각을 해 길을 걷다가 음악을 듣다가 갑자기 넌 내 눈 앞에 나타나 내 마음이 만든 단 하나의 영화 오직 너만이 출연하는 특별한 작품의 제목은 짝사랑 그리고 난 단 하나의 관객  pre 모두 날 위로해 기운내 그런 말 지루해 난 슬픈 게 아니잖아 그가 영원히   내 맘 몰라도 돼 그저 눈에 보이는 곳에 늘 그랬듯 매력적인 눈빛 몸짓 말투로 dododododo 존재하면 돼 난 그거면 돼   가득 찬 기분 니가 몰고 온 간질거리는 바람에선 좋은 냄새가 나 이대로 좋아 내 미소를 그려내는 사람 모두 날 응원해 용기내 이젠 다가갈 차례라며 날 떠미네 그런 고민보단 지금을 즐기고 싶은데 숨겨둔 고백을 타고 난 저 하늘 위로 woo  내 맘 몰라도 돼 내 눈 앞에 그저 눈에 보이는 곳에 늘 그랬듯 매력적인 눈빛 몸짓 말투로 존재하면 돼 난 충분해 그저 눈에 보이는 곳에 늘 그랬듯 매력적인 눈빛 몸짓 말투로 존재하면 돼 난 그거면 돼1 
Brave Enough,Lee Hi (이하이),scared of ng alone or scared of love my shadow just walks beside me i’m getting closer to the edge but try hard not to lose myself 마음이 혼자서 걸어갈 때 조용히 지켜 바라봐 줘 혹시 잊었던 시간의 소리가 그 맘에 닿을 수 있을지 몰라 i say i’m brave enough brave enough to be myself and there’ll be a dawn ar this long and dark night and the morning ngs me a story when i’m standing all on my own is there anybody out there just realised i’m still in my dream 마음에 눈물을 보일 때에도 모른 척 웃으며 감싸 안아줘 언젠가 머물렀던 내 안의 기억이 눈물을 닦아 줄 수 있을지 몰라 어느 날 문득 뒤돌아보니 그 곳에 낯선 내가 있어 말없는 미소로 나를 보며 괜찮다고 i say i’m brave enough brave enough to be myself and therе’ll be a dawn ar this long and dark night 
허수아비 (Scarecrow),Lee Hi (이하이)," 허수아비    그 어떤 사랑도 시간이 지나면 변하고 마는걸 왜 난 모르냐고 1년만 지나도 지금과 달라져 내 생각에 아플 일은 없을 거라고 하지만 난 내 마음을 잘 아는 걸 변하질 않을걸 너무 잘 아는 걸 세상엔 정해진 짝이 다 있기에 그런 사랑은 절대 잊혀지지 않는 걸   너는 내가 널 다 잊은 줄 알겠지만 다른 사람과 행복한 줄 알겠지만 나는 아직도 이렇게 못 잊고 있어 모두가 떠나가도 혼자 서있는 허수아비처럼   해가지고 모두 집에 들어가면 넓은 들판에 나 혼자 서 있는 걸 앞이 조금씩 안 보이는 어둠이 혼자 있는 날 점점 두렵게 하지만 어느새 꼭 감은 두 눈을 떠보니 아름다운 별들이 빛나고 있어 멀리 떠난 너의 그 모습들처럼 바라보면서 언젠간 내게 오기를 빌었어  너는 내가 널 다 잊은 줄 알겠지만 다른 사람과 행복한 줄 알겠지만 나는 아직도 이렇게 못 잊고 있어 모두가 떠나가도 혼자 서있는 허수아비처럼, ooh ohoh, oohwhoaoh 너는 내가 널 다 잊은 줄 알겠지만 오 나는 내가 다른 사람과 행복한 줄 알겠지만 너를 잊고 나는 아직도 이렇게 못 잊고 있어 난 못 잊고 있어 모두가 떠나가도 혼자 서있는 허수아비처럼 날 두고 떠나가도 허수아비처럼   ohoohohoh 혼자 서있는 허수아비처럼1 "
Because,Lee Hi (이하이)," because    이게 왜 나 때문이야 다 너 때문이지 어떻게 날 위한 거야 널 위한 거겠지 둘러대지 말란 말이야 끝까지 너 답네  pre 정말 날 위해서라면 나 때문이면 자꾸만 전화하지마 나 안 받을 거야 불행하길 바래 i'm sorry, that's a lie, a boy   날 잊어도 돼 다 잊어도 돼 이제 행복해도 돼 다만 단 한 가지 알아두고 가 난 너 땜에 살았어   도대체 뭘 원하는 거야 더 무슨 말을 해 어떻게 끝나질 않아 어쩌라는 건데 몰아붙이지 말란 말이야 나 우는 건 싫다고 했잖아 pre 어차피 끝낼 거라면 아니 끝난 거라면 이제는 화 좀 내지마 나 안 들을 거야 불행하길 바래, yeah i'm sorry, that's a lie, a boy   날 잊어도 돼 다 잊어도 돼 이제 행복해도 돼 다만 단 한 가지 오핸 풀고 가 난 너 밖에 몰랐어, yeah 날 잊어도 돼 다 잊어도 돼 이젠 행복해도 돼 다만 단 한 가지 알아두고 가 난 너 땜에 살았어   oh, because of you, because of you 웃고 울고 불과 같던 날들   다 잊어도 돼 이제 행복해도 돼 우린 너무 싸웠어 더는 이럴 수 없어, oh  날 잊어도 돼 다 잊어도 돼 이젠 행복해도 돼 다만 단 한 가지 알아두고 가 난 너 땜에 살았어   이게 왜 나 때문이야 다 eh 이게 왜 나 때문이야 다 이게 왜 나 때문이야 다1 "
안전지대 (Safety Zone),Lee Hi (이하이)," 안전지대    설렘이 무뎌지면 끝이라 쉽게 생각해 문득 말없이도 너의 맘이 보이네 나태함은 관계의 끝을 말하지만 익숙함은 완전한 사랑의 시작 안다면 알만큼 모른다면 몰라 널 ooh, but, 아침에 일어나면 익숙하게 널 원해 다른 애들과의 하룻밤과 다르게 so 너도 내게 보여 줘,   pre 너의 그 사랑에 안전지대가 어딨어 너의 그 마음에 안전지대가 어딨어? 멍해진 표정 둔해진 심장 좋다 말하면 돌아서 달라 이런데 어떻게 널 믿겠어 너의 그 사랑에 안전지대가 어딨어 너의 그 마음에 안전지대가 어딨어? 영원한 게 있다면 보여줘 난 너라는 사람 하날 몰라 상처 입을 게 뻔해   baby, i can't trust you, you, you baby, i can't trust you, you, you 내게 믿음을 줘 너에게 내가 좀 더 깊이 갈 수 있게 oh, baby, i can't trust you, you, you baby, i can't trust you, you, you 내게 믿음을 줘 너에게 내가 좀 더 깊이 갈 수 있게 oh, baby  밤거리를 방황해도 우리 사이만 떠올라 원한 건 큰 것도 아냐 사소한 것들 우리 사이 반복도 할 만큼 했나 봐 나에게서 멀어져 가는 듯한 너 이유가 있다면 알고 싶어 우리 둘 ooh, but, 뒤돌아보면 다시 또 날 원하는 너니까 흔히 지나가는 하룻밤관 다르게 여전하다 말해줘,   pre 너의 그 사랑에 안전지대가 어딨어 너의 그 마음에 안전지대가 어딨어? 멍해진 표정 둔해진 심장 좋다 말하면 돌아서 달라 이런데 어떻게 널 믿겠어 너의 그 사랑에 안전지대가 어딨어 너의 그 마음에 안전지대가 어딨어? 영원한 게 있다면 보여줘 난 너라는 사람 하날 몰라 상처 입을 게 뻔해   baby, i can't trust you, you, you baby, i can't trust you, you, you 내게 믿음을 줘 너에게 내가 좀 더 깊이 갈 수 있게 oh, baby, i can't trust you, you, you baby, i can't trust you, you, you 내게 믿음을 줘 너에게 내가 좀 더 깊이 갈 수 있게 oh, baby  영원한 건 없겠지만 믿어볼게 늘 아름답지는 않대도 기다릴게, yeah, yeah, yeah, yeah, yeah 영원한 것보다도 더 아름답게,  이번이 마지막처럼 전부 걸게, yeah ahahahah, ahah,  ahahahahahahahahah "
Darling,Lee Hi (이하이)," darling    한 번도 이런 적 없었는데 심장이 이렇게 서두르는 게 곁에 네가 있어도 난 앞만 보게 돼 아무 사이도 아닌 우린데 왜 이렇게 신경 쓰이는 건데 부르고 싶어 널 darling, you  pre 네가 원하면 불러줄게 널 위해 만든 노래로 sing it like, ooh, oohooh like, ooh, ooh, ooh, ooh 내 맘이 서두르는 걸까 너도 나와 같을까 sing it like, ooh, oohooh like, ooh, ooh, ooh   baby, just call you a darling let me call you a darling 상처받은 너의 빈자릴 채우게 해줘 call you a darling can i call you a darling? 다른 사람은 싫어 너 아님 안 돼 just you  told you, baby, i can be your hero 걱정할 필요 없어, ten to zero 몇 살 차이 안 나는 나이 차이 뭐 그런 걸로 고민해 no way 한걸음 가까워지며 깊어지는 감정 주위에 너 말곤 안 보이는 내 맘 어떻게 해 더 커져만 가는 이맘은 숨기려 해도 티를 내  pre 네가 원하면 불러줄게 널 위해 만든 노래로 sing it like, ooh, oohooh like, ooh, ooh, ooh, ooh 내 맘이 서두르는 걸까 너도 나와 같을까 sing it like, ooh, oohooh like, oohoohoohooh   baby, just call you a darling let me call you a darling 상처받은 너의 빈자릴 채우게 해줘 call you a darling can i call you a darling? 다른 사람은 싫어 너 아님 안 돼 just you  you, you 날 더 기다리게 하지 마 나도 모르게 너만 보면 이러게 돼 내 맘을 가져가 버린 너 oh, you, only you 날 불러줘, oh, honey, you 시간이 가 내 맘이 떠나가기 전에 ohoohohwhoaoh   baby, just call you a darling ooh let me call you a darling 상처받은 너의 빈자릴 no 채우게 해줘 no, no, no, no call you a darling ain't nobody can i call you a darling? ain't nobody but you 다른 사람은 싫어 너 아님 안 돼 just you   just you "
바보 (Fool for love),Lee Hi (이하이)," 바보    알건 다 알면서 사랑할 때만 참 바보 같은 난 아무것도 몰라도 사랑 하나만큼은 남들처럼 잘하고 싶은데 그게 안돼요 어떡하죠? 받기만 하고 떠난 그댈 배워야 하나요? 왜 사랑답지 않은 사랑을 가르쳐요?   나 같은 바보는 어디 없나요? 나처럼 다 주고 다 잃고도 웃어줄 바보, 바보, 바보는 없나요?   알고 있다고 다신 이런 사랑 안한다고 사람들이 해주는 말만 따라하죠 사실은 잘 모르면서 그댈 닮지 못해서 미안해요 pre 네가 바보인 거라고 모두가 말해도 난 사랑답지 않은 사랑은 하기 싫어요 다 주기만 하고 잊혀지는 것이 두려워도 내 마음이 그댈 배울까봐 더 두려워요   나 같은 바보는 어디 없나요? 나처럼 다 잃고도 내 곁을 지켜줄 바보, 바보, 바보는 없나요?   i'm a fool i'm such a fool for love 언젠가는 날 닮은 나 같은 사람을 찾게 될 거라고 믿어요, whoaoohohoh   나와 같은 바보가 어디 있겠죠 그 사람도 날 기다리고만 있겠죠 바보, 바보, 바보처럼   oh, i'm a fool, i know oohoohooh, m 이래서 미안해 i'm a fool for love "
어려워 (What is Love?),Lee Hi (이하이)," 어려워    비슷한 취향과 비슷한 입맛 처음 알고부터는 어떤 걸 보고 먹어도 너에 대한 생각을 떨치기 어렵더라 멈추는 방법이 뭐야 너희 집 비밀번호 뭐야  pre 둘 중 어떤 게 좋아 네 맘은 뭐야 내게 말해봐 둘 중 어떤 게 좋아 내 맘은 같아   어려워 what is the love? 네 맘은 어려워 what is the love? 네 답은 어려워 this is the real one 두려워 sweetest taste 내가 다 망칠까 봐 어려워 i don't know what is the love 네 맘은 어려워 i don't know what is the love 두려워 i don't know this is real one  but i know it's sweetest taste 내가 다 망칠까 봐  비슷한 듯 다른 건 따듯한 커피와 차가운 커피 사소함에서 느낀 너무 다른 온도차 달라도 너무 달라 마치 흑과 백 너와 난 물과 기름 같아  pre 둘 중 어떤 게 좋아 네 맘은 뭐야 내게 말해봐 둘 중 어떤 게 좋아 내 맘은 같아 uhuhuhuhuh   어려워 what is the love? 네 맘은 어려워 what is the love? 네 답은 어려워 this is the real one 두려워 sweetest taste 내가 다 망칠까 봐 어려워 i don't know what is the love 네 맘은 어려워 i don't know what is the love 두려워 i don't know this is real one  but i know it's sweetest taste 내가 다 망칠까 봐  전부 말해줄게 내 맘이 어떤지 알려주고 싶어 난 좀 더 듣기 좋은 예쁜 말과 사랑스러운 미소로 맘에 들고 싶어 애를 써 널 전부 갖고 싶어 내 소유로 만들고 싶어 그건 욕심인 걸 잘 아는데도 nobody can do this 너처럼 빛날 순 없어 눈이 멀어 버릴 지경 과장 좀 섞어서 ain't nobody can do this fly 하늘 위에 붕 떠있어 다들 말해 우린 좀 잘 어울리는 하나, yeah   어려워 what is the love? 네 맘은 어려워 what is the love? 네 답은 어려워 this is the real one 두려워 sweetеst taste 내가 다 망칠까 봐 어려워 i don't know what is the love 네 맘은 어려워 i don't know what is thе love 두려워 i don't know this is real one  but i know it's sweetest taste 내가 다 망칠까 봐  아 어젯밤 나의 꿈속에 내 이름을 불러주던 너 아마 난 아주 오랫동안 널 아 "
물타기 (Waterride),Lee Hi (이하이)," 물타기    everybody clap your hands like this hehe   ohoh, ohohoh ohoh, ohohoh ohoh, ohohoh, oh ohoohoohooh   뭔 말만 하면 물고 늘어지는 그대 무슨 말이 더 필요하겠어 ohoohoohooh 그렇게 막 던지면 단 줄 아는 그대 이제는 나도 다 놔버리겠어  pre 이게 통 말인지 아님 된장인지 알고서나 말하는 건지 어느새 진실은 흐릿해져 가는 물타기에 흘러가네   말이면 말이면 말이면 단 줄 알아 걸리면 걸리면 걸리면 발뺌하고 아니면 아니면 아니면 말란 식으로 ohoohoohooh 가리면 가리면 가리면 되는 줄 알아 이제나저제나 언제나 철들 거야 하지 마 하지 마 하지 말라면 좀 하지 마 post and i'd be cryin' like ooh, ooh, oohoohooh ooh, ooh, oohoohooh ooh, ooh, oohoohooh, ooh and i'd be cryin' like ooh, ooh, oohoohooh ooh, ooh, oohoohooh ooh, ooh, oohoohooh, ooh ohoohoohooh   뭔 말을 해도 이제 나는 안 믿지 믿어봤자 뭔 소용 있겠어 ohoohoohooh 스믈스믈 능글능글 기어 오지 서커스가 따로 없겠어  pre 이게 통 말인지 아님 된장인지 알고서나 말하는 건지 어느새 진실은 흐릿해져 가는 물타기에 흘러가네   말이면 말이면 말이면 단 줄 알아 걸리면 걸리면 걸리면 발뺌하고 아니면 아니면 아니면 말란 식으로 ohoohoohooh 가리면 가리면 가리면 되는줄 알아 이제나저제나 언제나 철들 거야 하지 마 하지 마 하지 말라면 좀 하지 마 post and i'd be cryin' like ooh, ooh, oohoohooh ooh, ooh, oohoohooh ooh, ooh, oohoohooh, ooh ohoohoohooh ha! ooh, ooh, oohoohooh ooh, ooh, oohoohooh ooh, ooh, oohoohooh, ooh "
Bye,Lee Hi (이하이)," bye    gray   okay, bye 이 말부터 하고 시작할게 너에 대한 것 이만 손 놓을래 따라다니는 그 여자애들 중에는 널 꼭 닮은 애로 만나길 빌게 okay, bye 미련, 이미 사라진 지 오래 구차하게 붙잡는 거 그만할래? bbye, i'm fine 내 걱정 말고 그냥 너나 잘해  pre 놔 그냥 날 넌 매일 밤마다 gimme love, gimme love 이기적인 너 gimme love, gimme love 이미 적인 너 놔 그냥 날 매번 반복해 gimme love, gimme love 이기적인 너 이미 넌 내게 사라진 지 오래   bye, bye, bye, my love 이제 그만해도 돼 사랑이 노력으로 돼? oh bye, bye, bye, my love 네 곁에만 있기에 내가 아까운 것 같아 so baby, bye, bye  숫자로 세자면 like 세 번 중 세 번 매일같이 반복되는 lie 네 번 중 네 번 레퍼토리 좀 바꿔 매번 같지 매번 지겨워 uh, yeah, i'm done 비교하는 건 아닌데 그다지 별 볼 일 없네 이제 와 끝내버린 게 나에게 행운 같아  pre 놔 그냥 날 넌 매일 밤마다 gimme love, gimme love 이기적인 너 gimme love, gimme love 이미 적인 너 놔 그냥 날 매번 반복해 gimme love, gimme love 이기적인 너 이미 넌 내게 사라진 지 오래   bye, bye, bye, my love 이제 그만해도 돼 사랑이 노력으로 돼? oh bye, bye, bye, my love 네 곁에만 있기에 내가 아까운 것 같아 so baby, bye, bye  youoohooh 아프게 하고 미안하단 말로 끝내 youoohooh 아무렇지 않게 다시 내게 돌아오는 게   bye, bye, bye, my love bye, bye, bye, my love 이제 그만해도 돼 사랑이 노력으로 돼? oh bye, bye, bye, my love bye, bye, bye, my love 네 곁에만 있기에 내가 아까운 것 같아 my love so baby, bye, bye bye, bye, bye, my love ooh 서로 갈 길 가면 돼 처음부터 남인데 왜? oh, baby, yeah oh bye, bye, bye, my love 뒤돌아 보지 않을래 슬퍼하는 내가 싫기에 so baby, bye, bye "
그대의 의도 (Intentions),Lee Hi (이하이)," 그대의 의도    yeah, yeah, yeah doodoo, doodoo yeah, yeah, yeah   춤을 추듯 움직이며 날 갖고 노는 그대의 의도 뭐 먹고 싶니 뭐 갖고 싶니 그런 걸로는 날 가질 수 없죠  pre 흐느적흐느적거려 뜨드듯 미지근 거려 너무 어려워 어려우면 일찌감치 포기해   그대의 의도 doodoodoo, doodoodoodoo 생각의 미로 doodoodoo, doodoodoodoo 마음의 피로 doodoodoo 읽히지 않는 지도 doodoodoo  왜 남자들은 어린 여자를 가르치려고 애를 쓰는지 그 옷은 이상해 넌 이게 어울려 but i just want your love, yeah i just want your love 난 지쳐만 가네  pre 이젠 돌직구를 날려 애매한 말들은 버려 뭐가 두려워 두려우면 일찌감치 포기해   그대의 의도 doodoodoo, doodoodoodoo 생각의 미로 doodoodoo, doodoodoodoo 마음의 피로 doodoodoo 읽히지 않는 지도 doodoodoo  post yeah, yeah, yeah yeah, yeah, yeah doodoo, doodoo yeah, yeah, yeah oohooh, oohoohoohooh  춤을 추듯 움직이며 날 갖고 노는 그대의 의도   그대의 의도 doodoodoo, doodoodoodoo 생각의 미로 doodoodoo, doodoodoodoo 마음의 피로 doodoodoo 읽히지 않는 지도 doodoodoo 그대의 의도 doodoodoo, doodoodoodoo 생각의 미로 doodoodoo, doodoodoodoo 마음의 피로 doodoodoo 읽히지 않는 지도 doodoodoo  post yeah, yeah, yeah, yeah, yeah yeah, yeah, yeah, yeah, yeah, uh yeah, yeah, yeah  그대의 의도 "
Intro (Turn it up),Lee Hi (이하이),"  turn it up   verse 넘어질 때마다 더 크게 웃으며 일어나, ohoohwhoaohoh 넘어지던 그때보다 높이 'cause my name is hi 음악이 있는 곳에 내가 있어 music is my life 난 깊은 어둠 속에도 밝게 빛나 i'm a star, ohoohwhoaoh  pre 클럽에서 거리에서 헤드폰 속에서 내 목소리가 들리는 이 순간까지 얼마나 많은 눈물과 땀 흘렸는지 기억해 잊지 못해 and now it's time to shine   turn it up 손을 위로 raise 'em, hi 두 눈을 감고 음악과 하나가 된 자 이 순간에 say my name turn it up 볼륨을 위로 raise it, hi 내가 느껴지면 say my name hi  hi "
내가 이상해 (Am I Strange),Lee Hi (이하이)," 내가 이상해    손가락 열 개 발가락 열 개 두 팔 두 다리 피가 흐르네 두 눈은 깜빡 두 귀는 쫑긋 난 열려 있어  pre 머리는 하나 심장도 하나 생각을 하고 공기를 마시고 너랑 똑같이   내가 이상해 어디가 어떻게 내가 이상해 왜 그런 눈으로 날 봐 내가 이상해 어디가 어떻게 너의 그 시선에 난 만신창이   기쁘면 웃고 슬프면 울고 찌르면 아프고 계속하면 화내고 절망을 하고 희망을 품고 너랑 똑같이  pre 하지만 나만 가진 몇 가지 것들 너완 다른 몇 가지 것들 내가 나인 이유 몇 가지  내가 이상해 어디가 어떻게 내가 이상해 왜 그런 눈으로 왜 그런 눈으로, ohoh, ohoh dararara, dararara, dada 왜 왜 왜 왜   내가 이상해 어디가 어떻게 너의 그 시선에 난 만신창이 어쩌라고 사실인걸 너의 그 시선에 난 만신창이 어쩌라고 사실인걸 너의 그 시선에 난 만신창이 어쩌라고 사실인걸 "
Dear You (Romance 101 x LeeHi),Lee Hi (이하이),괜찮아진다는 건 흐르는 시간 속에 슬픔을 다 맡기고 버티는 거더라  기나긴 시간 곁에서 나보다 날 아끼며 헤매던 마음에 손 내밀어 준 너  두 눈을 보며 건네준 그 한마디가 늘 아낌없이 나를 안아주던 너의 그 한마디가 굳게 닫혀있던 내 마음에 살며시 스며든 거야 긴 밤의 끝을 지나 내 모든 방황은 결국 널 향한 하나의 이유였나 봐  사랑받는다는 건 내 깊은 아픔을 나보다 더 아파해주는 거더라 무너져 내릴 것 같은 밤이 찾아오면 늘 사랑이란 이름으로 날 감싸준 너  두 눈을 보며 건네준 그 한마디가 늘 아낌없이 나를 안아주던 너의 그 한마디가 굳게 닫혀있던 내 마음에 살며시 스며든 거야 긴 밤의 끝을 지나 내 모든 방황은 결국 널 향한 하나의 이유였나 봐 언제부턴지 알 수는 없지만 아무 말 없이 내어준 품에 내 맘이 기대어 쉰 거야  수백 번 말해도 모자란 그 한마디를 온통 밤이었던 내 맘에 불빛을 켜주던 그 한마디를 이젠 내가 해주려 해 네가 그랬듯이 오래도록 너와 난 우리라는 이름으로 남겠다고 약속할게 
